timestamp,from_phase,from_phase_status,from_actor,to_phase,to_actor,to_phase_status
2026-02-05T00:40:25+01:00,bootstrap_comms,completed,devops,requirements,system_analyst,not_started
2026-02-05T00:50:14+01:00,requirements,completed,system_analyst,architecture,architect,in_progress
2026-02-05T00:50:20+01:00,architecture,completed,architect,devops,devops,in_progress
2026-02-05T00:50:26+01:00,devops,completed,devops,backend,backend,in_progress
2026-02-05T00:50:32+01:00,backend,completed,backend,backend_testing,backend_tester,in_progress
2026-02-05T00:50:38+01:00,backend_testing,completed,backend_tester,frontend,frontend,in_progress
2026-02-05T00:50:44+01:00,frontend,completed,frontend,frontend_testing,frontend_tester,in_progress
2026-02-05T00:50:49+01:00,frontend_testing,completed,frontend_tester,integration_testing,integration_tester,in_progress
2026-02-05T00:50:54+01:00,integration_testing,completed,integration_tester,security,security,in_progress
2026-02-05T00:50:59+01:00,security,completed,security,client_acceptance,client,in_progress
2026-02-05T00:51:05+01:00,client_acceptance,completed,client,done,orchestrator,completed
2026-02-05T00:51:17+01:00,workflow,completed,orchestrator,done,orchestrator,completed
2026-02-05T00:55:21+01:00,workflow,restarted,orchestrator,bootstrap_comms,devops,not_started
2026-02-05T00:55:47+01:00,bootstrap_comms,completed,devops,requirements,system_analyst,not_started
2026-02-05T00:56:33+01:00,requirements,completed,system_analyst,architecture,architect,in_progress
2026-02-05T00:58:55+01:00,architecture,completed,architect,devops,devops,in_progress
2026-02-05T00:59:11+01:00,devops,completed,devops,backend,backend,in_progress
2026-02-05T00:59:50+01:00,backend,completed,backend,backend_testing,backend_tester,in_progress
2026-02-05T01:00:37+01:00,workflow,completed,orchestrator,done,orchestrator,completed
2026-02-05T22:33:00Z,bootstrap_comms,in_progress,orchestrator,bootstrap_comms,devops,in_progress
2026-02-05T22:34:00Z,bootstrap_comms,awaiting_review,devops,bootstrap_comms,devops_reviewer,awaiting_review
2026-02-05T22:35:00Z,bootstrap_comms,completed,devops_reviewer,requirements,system_analyst,in_progress
2026-02-05T22:36:00Z,requirements,awaiting_review,system_analyst,requirements,system_analyst_reviewer,awaiting_review
2026-02-05T22:37:00Z,requirements,completed,system_analyst_reviewer,architecture,architect,in_progress
2026-02-05T22:38:00Z,architecture,awaiting_review,architect,architecture,architect_reviewer,awaiting_review
2026-02-05T22:39:00Z,architecture,completed,architect_reviewer,devops,devops,in_progress
2026-02-05T22:40:00Z,devops,awaiting_review,devops,devops,devops_reviewer,awaiting_review
2026-02-05T22:41:00Z,devops,completed,devops_reviewer,backend,backend,in_progress
2026-02-05T22:42:00Z,backend,awaiting_review,backend,backend,backend_reviewer,awaiting_review
2026-02-05T22:43:00Z,backend,completed,backend_reviewer,backend_testing,backend_tester,in_progress
2026-02-05T22:44:00Z,backend_testing,awaiting_review,backend_tester,backend_testing,backend_tester_reviewer,awaiting_review
2026-02-05T22:45:00Z,backend_testing,completed,backend_tester_reviewer,frontend,frontend,in_progress
2026-02-05T22:46:00Z,security,completed,security_reviewer,done,orchestrator,completed
2026-02-05T22:52:08Z,bootstrap_comms,in_progress,orchestrator,bootstrap_comms,devops,in_progress
2026-02-05T22:52:08Z,bootstrap_comms,awaiting_review,devops,bootstrap_comms,devops_reviewer,awaiting_review
2026-02-05T22:52:08Z,bootstrap_comms,completed,devops_reviewer,requirements,system_analyst,in_progress
2026-02-05T22:52:08Z,requirements,awaiting_review,system_analyst,requirements,system_analyst_reviewer,awaiting_review
2026-02-05T22:52:08Z,requirements,completed,system_analyst_reviewer,architecture,architect,in_progress
2026-02-05T22:52:08Z,architecture,awaiting_review,architect,architecture,architect_reviewer,awaiting_review
2026-02-05T22:52:08Z,architecture,completed,architect_reviewer,devops,devops,in_progress
2026-02-05T22:52:08Z,devops,awaiting_review,devops,devops,devops_reviewer,awaiting_review
2026-02-05T22:52:08Z,devops,completed,devops_reviewer,backend,backend,in_progress
2026-02-05T22:52:08Z,backend,awaiting_review,backend,backend,backend_reviewer,awaiting_review
2026-02-05T22:52:08Z,backend,completed,backend_reviewer,backend_testing,backend_tester,in_progress
2026-02-05T22:52:08Z,backend_testing,awaiting_review,backend_tester,backend_testing,backend_tester_reviewer,awaiting_review
2026-02-05T22:52:08Z,security,completed,security_reviewer,done,orchestrator,completed
2026-02-06T00:20:00Z,done,completed,orchestrator,bootstrap_comms,devops,in_progress
2026-02-06T00:20:00Z,bootstrap_comms,awaiting_review,devops,bootstrap_comms,devops_reviewer,awaiting_review
2026-02-06T00:20:00Z,bootstrap_comms,completed,devops_reviewer,requirements,system_analyst,in_progress
2026-02-06T00:32:00Z,requirements,awaiting_review,system_analyst,requirements,system_analyst_reviewer,awaiting_review
2026-02-06T00:32:00Z,requirements,completed,system_analyst_reviewer,architecture,architect,in_progress
2026-02-06T00:32:00Z,architecture,awaiting_review,architect,architecture,architect_reviewer,awaiting_review
2026-02-06T00:32:00Z,architecture,completed,architect_reviewer,devops,devops,in_progress
2026-02-06T00:32:00Z,devops,awaiting_review,devops,devops,devops_reviewer,awaiting_review
2026-02-06T00:32:00Z,devops,completed,devops_reviewer,backend,backend,in_progress
2026-02-06T00:37:00Z,backend,awaiting_review,backend,backend,backend_reviewer,awaiting_review
2026-02-06T00:37:00Z,backend,completed,backend_reviewer,backend_testing,backend_tester,in_progress
2026-02-06T00:37:00Z,backend_testing,completed,backend_tester_reviewer,integration_testing,integration_tester,in_progress
2026-02-06T00:37:00Z,security,completed,security_reviewer,done,orchestrator,completed
2026-02-06T00:54:00Z,done,completed,orchestrator,bootstrap_comms,devops,in_progress
2026-02-06T01:17:00Z,bootstrap_comms,awaiting_review,devops,bootstrap_comms,devops_reviewer,awaiting_review
2026-02-06T01:17:00Z,bootstrap_comms,completed,devops_reviewer,requirements,system_analyst,in_progress
2026-02-06T01:17:00Z,security,completed,security_reviewer,done,orchestrator,completed
2026-02-06T01:59:00Z,done,completed,orchestrator,backend,backend,in_progress
2026-02-06T02:00:00Z,integration_testing,completed,integration_tester,CUSTOM_STOP,orchestrator,stopped
